FCSFile,Sample/CellLine,Antibody,Channel,Notes,WellID
Clone112026-06-02.0005.fcs,KPL4_e38_e1_e11_b1_P2,HB-44976,"APC, PE",unstained control,E11
Clone122026-06-02.0001.fcs,KPL4_e38_e1_e12_b1_P2,HER2,APC,,A12
Clone122026-06-02.0002.fcs,KPL4_e38_e1_e12_b1_P2,TROP2,PE,,B12
Clone122026-06-02.0003.fcs,KPL4_e38_e1_e12_b1_P2,ABCB1,PE,,C12
Clone122026-06-02.0004.fcs,KPL4_e38_e1_e12_b1_P2,ABCG2,PE,,D12
Clone122026-06-02.0005.fcs,KPL4_e38_e1_e12_b1_P2,HB-44976,"APC, PE",unstained control,E12
B12026-06-02.0001.fcs,17847/0,ABCB1,PE,,G6
B12026-06-02.0002.fcs,17847/1,ABCB1,PE,,G7
B12026-06-02.0003.fcs,17847/2,ABCB1,PE,,G8
B12026-06-02.0004.fcs,17847/3,ABCB1,PE,,G9
B12026-06-02.0005.fcs,17847/4,ABCB1,PE,,G10
G22026-06-02.0001.fcs,17847/0,ABCG2,PE,,H6
G22026-06-02.0002.fcs,17847/1,ABCG2,PE,,H7
G22026-06-02.0003.fcs,17847/2,ABCG2,PE,,H8
G22026-06-02.0004.fcs,17847/3,ABCG2,PE,,H9
G22026-06-02.0005.fcs,17847/4,ABCG2,PE,,H10
HER2 Beads2026-06-02.0001.fcs,17847/0,HER2,APC,,G1
HER2 Beads2026-06-02.0002.fcs,17847/1,HER2,APC,,G2
HER2 Beads2026-06-02.0003.fcs,17847/2,HER2,APC,,G3
HER2 Beads2026-06-02.0004.fcs,17847/3,HER2,APC,,G4
HER2 Beads2026-06-02.0005.fcs,17847/4,HER2,APC,,G5
TROP2 Beads2026-06-02.0001.fcs,17847/0,TROP2,PE,,H1
TROP2 Beads2026-06-02.0002.fcs,17847/1,TROP2,PE,,H2
TROP2 Beads2026-06-02.0003.fcs,17847/2,TROP2,PE,,H3
TROP2 Beads2026-06-02.0004.fcs,17847/3,TROP2,PE,,H4
TROP2 Beads2026-06-02.0005.fcs,17847/4,TROP2,PE,,H5
